,Doc,Topic,Doc_ID,new_labels
380,"More clarity on individuals roles, confusing when sick. I think the medical oncologist dealt with hormone treatment. Never felt they had expertise to discuss minapause symtoms, libido, night sweets, nothing on heathy eating, exercise, so real gap here. Some factual evidence on best scans. Told all scans the same and refusing to offer MRI. Will be forced to pretend symtoms to get one.Nothing about breast density.no female imput",12,380,Influence of breast density
381,"Possibility of long tern recurrence, difference between ILC and IDC, usual sights of mets.",11,381,ILC unique features
382,"Late recurrence of ILC, metastasis, symptoms to watch for",-1,382,Ambiguous
383,Everything about ilc,11,383,ILC unique features
384,After effects on body after treatment completed,6,384,Endocrine therapy
385,"Disscussion on AI's V tamoxifen for premenopausal women with lobular, an opportunity for oncodx or mamma print for benefit of chemo, talk regarding the benefits long term effects of chemo eg neuropathy, spread patterns and symptoms to look out for. In summary any explanation or conversation about what lobular is.",9,385,ILC unique features
386,See above,3,386,ILC unique features
387,Bilateral likelihood,0,387,Recurrence
388,Everything,-1,388,Ambiguous
389,Discussion about AIs and Zometa,6,389,Endocrine therapy
390,That lobular might need more than 2 years of aromatase inhibitors,9,390,ILC unique features
391,Chemotherapy effectiveness in ILC,1,391,Chemotherapy
392,Chemo and ILC is it effective,1,392,Chemotherapy
393,I don't know if she knows unique histology bout IL,-1,393,Ambiguous
394,Having blood work and scans,7,394,Cancer detection and screening
395,That the chemotherapy treatments aren't effective for ILC,1,395,Chemotherapy
396,"I would have liked to have been told that ILC can recur after many years (14 for me), and that the 5 year survival rate that people talk about, doesn't mean anything in terms of recurrence. I didn't know what to look for. My MO is great though - I have the same one now with my Stage 4 diagnosis. I am still on line 1 therapy and haven't had any genomic testing (other than for estrogen, progesterone and HER2-); hopefully she will get this done when my current treatment is no longer working and I have to move to something new. One point about my stage 3 diagnosis is that I asked for my ovaries to be removed but she said it wasn't necessary. Now I have a large mass on my ovary which is being monitored by my Stage 4 CT scans",-1,396,Ambiguous
397,Recurrence,0,397,Recurrence
398,"Long term prognosis of ILC, specific screenings to continue and for how long",11,398,ILC unique features
399,What Symptoms I should look for in the future. What is pleomorphic and what that means for me and my future or recurrence,8,399,Metastasis
400,How ILC is different,11,400,ILC unique features
401,That ilc can metastasise to different places,-1,401,Ambiguous
402,What treatments are good or bad for lobular. I heard the second time.,9,402,ILC unique features
403,More info on chemos effect on lobular More knowledge on ductal spread not being linked to lobular,9,403,ILC unique features
404,That they should provide extra screening for ILC patients,11,404,ILC unique features
405,Side effects snd mets,-1,405,Ambiguous
406,additional treatments for bone health,5,406,Personalized treatment and mental care
407,Same as surgeon answer.,-1,407,Ambiguous
408,"Necessity to watch for mets in GI tract, ovaries, etc. Chemo efficacy for ILC. Why did I develop it?",1,408,Chemotherapy
409,What type of lobular - I have since learnt pleomorphic. I never had mri but feel I should have,9,409,ILC unique features
410,"Difference between ilc and idc, whether to start with tamoxifen or AI, monitoring for new or metastasized ilc, risk of recurrencover time (5 vs 10 years), validity of oncotype results for ILC.",11,410,ILC unique features
411,"How AI will help, % of reoccurrence",6,411,Endocrine therapy
412,"I wish ILC had actually been explained to me so that I knew how it was different from ductal, where it could metastasize to, what symptoms to look for, how it might respond differently to screening & treatment, etc.",-1,412,Ambiguous
413,I had a micro met in a sentinel node I wish I had discussed this further  - only mastectomy given and recon but I have worries that no further treatment,-1,413,Ambiguous
414,Had oncotype- what about other testing of tissue,7,414,Cancer detection and screening
415,That it could appear in unusual places and the symptoms to look out for,8,415,Metastasis
416,"I did my own research, a fifteen minute telephone consultation is not enough",-1,416,Ambiguous
417,HR medications best for lobular,9,417,ILC unique features
418,I meet my medical oncologist every 6 months since I'm under treatment,-1,418,Ambiguous
419,ILC was not well understood in 1989. First and second treatment opinions were exactly the same.,11,419,ILC unique features
420,As above,3,420,ILC unique features
421,same,3,421,ILC unique features
422,How lobular is different and if it matters when planning treatments and interventions.,9,422,ILC unique features
423,"I wish he had told me that if I had a mastectomy that I would not need radiation. I spent hours agonizing over what and where to get radiation.  Also, I wish he had known about the applicablity of the ""score"" and tamoxifen for lobular vs. ductal as there was no discussion of the difference and now I wonder if we made the best choices.",4,423,Radiation therapy
424,I feel that once I refused chemotherapy she did not have the interest,1,424,Chemotherapy
425,"I wish she would have given me research and stats on ILC studies, not mixed. I wish she would explain about ways to detect METS if standard scans don't work very well.",10,425,Cancer detection and screening
426,More information about long term effects of chemo,1,426,Chemotherapy
427,Tamoxifen can cause vaginal atrophy,6,427,Endocrine therapy
428,ILC metastasizes differently than IDC. What are the symptoms? How to follow up? Nothing was told to me! What diet I should follow? And this was in Memorial Sloan Kettering!!!!,-1,428,Ambiguous
429,Oncotype score should not be used to influence surgery or radiation decisions,7,429,Cancer detection and screening
430,"Unusual site of metastasis, such as GI, peritoneal.",8,430,Metastasis
431,Ilc requires further research for better treatmets specific for ilc,11,431,ILC unique features
432,"ILC unique characteristics, information about ILC specific research; ANYTHING that would help me to monitor for recurrence",11,432,ILC unique features
433,genome testing including Breast Cancer Index,-1,433,Ambiguous
434,Neo-adjuvant chemo,1,434,Chemotherapy
435,Treatments- are there different chemos for ILC?,1,435,Chemotherapy
436,Chemo not very effective,1,436,Chemotherapy
437,"Better follow up with testing, MRI, labs, checking blood markers",7,437,Cancer detection and screening
438,I continue to ask questions however told,-1,438,Ambiguous
439,Chemo isn't always good for ILC,1,439,Chemotherapy
440,Treatment specific to lobular is what I am receiving,9,440,ILC unique features
441,Metastasis in different way than Ductal,8,441,Metastasis
442,it spreading and what to look out for.,-1,442,Ambiguous
443,"Just because I ""didn't look like a stage 4"" patient didn't mean I wasn't one.  The wrap-around rib pain that I felt, the pelvic pain and distention, the sensation of being out of breath and fatigue, were all signs of metastatic lobular cancer.",9,443,ILC unique features
444,It was never explained that lobular behaves differently. I would like to have heard this from the professionals.,9,444,ILC unique features
445,"Even if it has metastasized, we may not see it on scans",8,445,Metastasis
446,That it's not the SAME as ductile!!!,-1,446,Ambiguous
447,ILC may come back in different parts of my body,11,447,ILC unique features
448,"It's sneaky,  avoids detection",10,448,Cancer detection and screening
449,"Side effects including how it affects cholestrol, heart, weights",6,449,Endocrine therapy
450,"Likelihood of later recurrence, effectiveness of chemotherapy",1,450,Chemotherapy
451,Tamoxifen vs ai benefits for ilc,6,451,Endocrine therapy
452,Information on reoccurrences after hormone treatments. My age and the possibility of having a reoccurrence after decades.,6,452,Endocrine therapy
453,Unique locations of metastasis,8,453,Metastasis
454,Triple negative,-1,454,Ambiguous
455,Better navigation and diagnostic followup,7,455,Cancer detection and screening
456,Personalized scan/tests to help monitor ilc,10,456,Cancer detection and screening
457,Chemotherapy for neoadjuvant therapy not likely to succeed,1,457,Chemotherapy
458,"my risk for specific side effects of chemotherapy and AIs-neuropathy, pain- and specific ways to I can combat them",6,458,Endocrine therapy
459,"anti-hormone therapy, chemotherapy",6,459,Endocrine therapy
460,Symptoms of recurrence,8,460,Metastasis
461,Medical treatment,5,461,Personalized treatment and mental care
462,Recurrence monitoring,0,462,Recurrence
463,"Signs of metastases, my genes and chances of metastases, blood markers",8,463,Metastasis
464,More about lobular behaviour. Ways to help reduce & prevent recurrence specific to lobular.,9,464,ILC unique features
465,monitoring for recurrence,0,465,Recurrence
466,Chance of recurrence/metastasis for ILC vs other,-1,466,Ambiguous
467,Anything that may help detect reoccurrence earlier,0,467,Recurrence
468,Details of treatment that was necessary for my cancer so I would've been better prepared,-1,468,Ambiguous
469,more knowledge,3,469,ILC unique features
470,"more info on ILC, felt more like a broad brush for all breast cancers, especially with my family history, BRACA negative",12,470,Influence of breast density
471,"Any information about this type of cancer, given none",-1,471,Ambiguous
472,Differences between ILC and other types. Options of personalized treatments,11,472,ILC unique features
473,"Most of   what I have  learned about  ILCA  I have learned  from  what  I have  read about it post  diagnosis. I have  used  this  knowledge to  better communicate  with  surgeon,  oncologists,  radiologist, and  gynocologists, PT's  that I  have  incountered  since  diagnosis.I  have  read  extensively  about  Pleomorphic  lobular  carcinoma  since diagnosis and  appreciate  the  fact  that  my  background  as  a  retired  biology  teacher  has  enable me to  understand  what  I  am reading  and  question  and  advocate  accordingly  with  each  specialty  listed  below.  When I  entered  treatment  I  knew  I would  be  receiving  standard of  care  at that  point in time and  other  than asking  for  genetic  testing  for  inheritable  genes  related to  breast  cancer  accepted  protocols  ordered.    As  I progressed thru  treatments and follow  ups  I  asked  questions  based on what  information I  personally  read about  vs.  what  they told  me.  I  requested  MRI  and  follow up  3 D mammograms  ( l due to  dense breasts),  sought consult  with  Gynocologis,  questioned  about  lack of  genomic  tumor  testing  due  to lymph node  involvement  noted  at   right  mastectomy.y",-1,473,Ambiguous
474,Options based on differences between ductal and lobular,9,474,ILC unique features
475,Impact of AI treatment: Bone strengthening treatment; cholesterol and other impacts; joint pain and how to deal with;,5,475,Personalized treatment and mental care
476,"About how different lobular is from ductal, that each need treated and treat me uniquely not according to a cook book. also be open to alternative measures, work with me not against me.",9,476,ILC unique features
477,Long term survival and what to watch for,-1,477,Ambiguous
478,The difference between Lobular and Ductal,9,478,ILC unique features
479,Unique places of potential metastasis,8,479,Metastasis
480,Differing treatment ? Longer ? To prevent recurrence,5,480,Personalized treatment and mental care
481,"Absence of E cadherin makes ILC present differently, different metastasis, response to chemo",1,481,Chemotherapy
482,Hormone replacement therapy side effects not fully understood,6,482,Endocrine therapy
483,Better info about neo adjuvant hormone therapie,6,483,Endocrine therapy
484,Nothing,10,484,Cancer detection and screening
485,Nothing,10,485,Cancer detection and screening
486,nothing,10,486,Cancer detection and screening
487,Nothing,10,487,Cancer detection and screening
488,Nothing. She was knowledgeable but still followed the standard of care,-1,488,Ambiguous
489,Follow up should involve more than annual screening mammograms.,12,489,Influence of breast density
490,idem,-1,490,Ambiguous
491,Recurrence locations and unique differences with ILC,11,491,ILC unique features
492,All the information about ilc,11,492,ILC unique features
493,recurrence,0,493,Recurrence
494,more information about the type of cancer,12,494,Influence of breast density
495,How ILC is different with imaging,10,495,Cancer detection and screening
496,Unique nature of ILC,11,496,ILC unique features
497,Importance of estrogen and what feeds it,6,497,Endocrine therapy
498,Future risks,0,498,Recurrence
499,"Recurrence areas to watch, need for chemo",1,499,Chemotherapy
500,"Differences in spread, and pathology",-1,500,Ambiguous
501,Trials available at the time,5,501,Personalized treatment and mental care
502,pre surgeory treatment,5,502,Personalized treatment and mental care
503,chemotherapy not indicated as adjuvant treatment,1,503,Chemotherapy
504,side effects of AI's,6,504,Endocrine therapy
505,Problems detecting,10,505,Cancer detection and screening
506,Genitourinary side effects of hormone blockers BEFORE it occurred,6,506,Endocrine therapy
507,How it differs from ductal,-1,507,Ambiguous
508,how to check for recurrence unusual sites (eyes f.ex),0,508,Recurrence
509,"treatments available, meds to not use",5,509,Personalized treatment and mental care
510,Endocrine resistance and reoccurrence information,6,510,Endocrine therapy
511,Response to chemo,1,511,Chemotherapy
512,More info on whatvto look for in a reoccurence,0,512,Recurrence
513,"Risk of recurrence and the unusual places ILC metastasizes to e.g. abdominal spaces, orbits, etc. Presence of LCIS and how that may or may not contribute to metastasis.",-1,513,Ambiguous
514,Risk of mets,-1,514,Ambiguous
515,Stacy Nerenstone.Ret,0,515,Recurrence
516,Mestatic pattern and value of? Chemo for lobular?,9,516,ILC unique features
517,Pattern of metastasis. Liquid biopsy instead of standard imaging.,8,517,Metastasis
518,Had no idea about the difference of the two types. Said up to me if I were to get chemo or not even though there was lymph nodes involved.,1,518,Chemotherapy
519,"Where it can return, what to look for, etc",0,519,Recurrence
520,"Spread locations, imaging",7,520,Cancer detection and screening
521,Targeted treatment during other treatment,5,521,Personalized treatment and mental care
522,"Treatment differences (only given herceptin as ILC her2+, initial IDC was her2-",11,522,ILC unique features
523,"Different gen assay: MammaPrint, OncoType DX, both available in The Netherlands but I didn't get to choose because OncoType is part of basic medical insurance even though literature states MammaPrint has better prognostic value. It also took a lot of effort to get the MO to agree to start directly with letrozole instead of tamoxifen. MO didn't tell me that ILC could recurr in other parts of the body than NST/IDC. Again: there is no need to treat the cancer any differently. The same applies for screening: once a year a talk and a mammogram.",-1,523,Ambiguous
524,Treatment options,5,524,Personalized treatment and mental care
525,Treatment decisions in relation to ILC's characteristics.,11,525,ILC unique features
526,New imaging techniques,7,526,Cancer detection and screening
527,Treatment options,5,527,Personalized treatment and mental care
528,"treatments beyond ""just tamoxifen""",6,528,Endocrine therapy
529,Anything about lobular!!!,9,529,ILC unique features
530,She has been the most informative of all physicians involved in care,-1,530,Ambiguous
531,"That the long term prognosis is not the same as ductal, so the recurrence numbers may be different.",-1,531,Ambiguous
532,That side effects may be experienced from anaesthesia rather than AI drugs.,6,532,Endocrine therapy
533,Treatment with letrozole not tamoxifen,6,533,Endocrine therapy
534,That Tamoxifen would make me more depressed than AIs,6,534,Endocrine therapy
535,"that ILC can spread to unusual sites and I should be aware of other symptoms, which may suggest presence of metastases.",-1,535,Ambiguous
536,That ILC usually doesn't form a lump but more like a spider web or fine lines,-1,536,Ambiguous
537,What to look out for in case of recurrances,0,537,Recurrence
538,"late recurrence, ILC spreads to unusual locations and symptoms",11,538,ILC unique features
539,Onco score importance.,11,539,ILC unique features
540,Do oncotype BEFORE chemo to determine effectiveness of chemo.,1,540,Chemotherapy
541,That ILC does not respond as well to chemo as compared to IDC,1,541,Chemotherapy
542,Treatment paths more suited to and effective for ILC,11,542,ILC unique features
543,That estrogen therapy might need to be more aggressive because it is ILC,6,543,Endocrine therapy
544,That blood tests can be taken to monitor cancer markers in blood,7,544,Cancer detection and screening
545,That it canrecur +20 yrs later,0,545,Recurrence
546,That it could reoccur,0,546,Recurrence
547,Letrozole would cause gynaecological issues,6,547,Endocrine therapy
548,"Oncotype was 8 so no chemo but always wondered if that was right given Grade 3, 5.1 cm and lobular....",9,548,ILC unique features
549,That they knew anything at all about lobular and how it responds differently to treatment. That it can recur later than ductal and the 5 year monitoring we are given,9,549,ILC unique features
550,The efficacy of ACT with ILC,11,550,ILC unique features
551,That chemo doesn't usually kill it,1,551,Chemotherapy
552,That ILC is different and where it can spread.,11,552,ILC unique features
553,"Different places of metastasis, what to look for in recurrence",8,553,Metastasis
554,That it doesn't show up on mammogram,12,554,Influence of breast density
555,That lobular cancer can metastasise to different places and present differently to ductal.,9,555,ILC unique features
556,That chemo isn't as effective on ILC,1,556,Chemotherapy
557,"Only asked if I preferred chemo or aromatase inhibitors at 1st zoom meeting without explaining standards or criteria for decision making.  I did on-line research which was disturbing.  I did finally begin Letrozole.  When I read about Oncotype Dx, I asked for it and learned that it was not possible beyond the 5 week window.  I felt betrayed for trusting my MDs.",1,557,Chemotherapy
558,"that we could approach it differently as it is not ductal, and what i am looking for in the future",0,558,Recurrence
559,"Anything about lobular cancer, I am concerned I am being treated exactly the same as any other breast cancer",9,559,ILC unique features
560,Hasn't mentioned my grade pleomorphic,-1,560,Ambiguous
561,"A real 10 yr plan - the post treatment treatment and side effects and options - AIs, Zometa etc.  The side effects are pretty severe",6,561,Endocrine therapy
562,what to look for in terms of recurrence; I felt my surgeon knew but not sure about my MO.  More specifics about AI side effects vs. other side effects such as radiation.,-1,562,Ambiguous
563,The difference in treatment for ILC,11,563,ILC unique features
564,That ILC tends to recur after 5 years as compared to IDC,11,564,ILC unique features
565,How future treatments for ILC may differ from treatment for ductal,11,565,ILC unique features
566,Places of recurrence and symptoms of recurrence,8,566,Metastasis
567,I wish I would have understood that lobular responds differently than ductal to chemotherapy and would have discussed with him specific regimens and data backing up the treatment.  I would have asked for a recurrence likelihood test.,9,567,ILC unique features
568,The fact that ILC ismore prone to recurrence many years later,11,568,ILC unique features
569,Removal of ovaries,-1,569,Ambiguous
570,The importance of calcium to avoid osteoperosis. The advantages of aromatase inhibitors over tamoxifen for lobular carcinoma.,9,570,ILC unique features
571,My initial oncologist never talked about lobular / ILC at all. Current oncologist (stage 4) has talked about it. He is engaged but doesn't seem to be up to date on lobular and I wish he was more active in following progress of breast cancer subtypes,9,571,ILC unique features
572,what to look for in reoccurrence,0,572,Recurrence
573,The best option between tamoxifen and AI for ILC for premenopausal women,6,573,Endocrine therapy
574,The long term side effects,6,574,Endocrine therapy
575,"How ILC can often have later recurrences, yet standard treatment is only 5 years (Tamoxifen) for both Ductal and Lobular. (UK)",9,575,ILC unique features
576,"I was not really informed of much that differentiates the various breast cancers. It would have been nice to have been properly informed the difference between the types of cancers, how ILC behaves, what to look for in the future.",12,576,Influence of breast density
577,How to combat recurrence after surgery and medication was not successful.,-1,577,Ambiguous
578,Prognosis,-1,578,Ambiguous
579,Discussion on eheyher Chemo or not,1,579,Chemotherapy
580,Treatment different than other breast cancers,12,580,Influence of breast density
581,Options to go into menopause and not take tamoxifen,6,581,Endocrine therapy
582,the sneaky and unusual symptoms of recurrent ILC,11,582,ILC unique features
583,Different options for treatment due to its unique nature,5,583,Personalized treatment and mental care
584,Ilc is different than ducal for diagnosis and presentation,-1,584,Ambiguous
585,Told me nothing so I relied on Facebook Groups,-1,585,Ambiguous
586,Barely consulted,-1,586,Ambiguous
587,Triple neg ILC,11,587,ILC unique features
588,Time to recurrence,0,588,Recurrence
589,Pros and cons of letrozole vs tamoxifen for ILC,6,589,Endocrine therapy
590,Unique metastasis sites and their symptoms,8,590,Metastasis
591,"unique metastic routes, needing different treatment vs. ductal",-1,591,Ambiguous
592,"Effectiveness of chemotherapy, what to be aware of for signs of metastasis and where lobular metastasizes to.",9,592,ILC unique features
593,Unsure - self-informed,-1,593,Ambiguous
594,Doesn't usually respond to chemo,1,594,Chemotherapy
595,"Second 5 years span is more likely to be when I may have a recurrence, sexual disfunction related to AI, side effects common to AI, knowledge of genomic testing and its importance related to AI,",6,595,Endocrine therapy
596,More info of endocrine treatments,6,596,Endocrine therapy
597,If lobular tends to creep back about yr 5-11 should I not be taking hormone therapy for 10 yrs and not just 5,9,597,ILC unique features
598,Reoccurrence rates,0,598,Recurrence
599,She overlooked my ILC & treated only my DCIS for over a year!,11,599,ILC unique features
600,What recurrence signs to look out for,0,600,Recurrence
601,"That Oncotest may not be as accurate for ILC, the same with my hormonal treatment, what I should be aware of about recurrence,",11,601,ILC unique features
602,"Why they think, that my lobular tumor (Oncotyoe DX: RS 17) would be more likely to react on chemotherapie than mist of the lobular tumors",9,602,ILC unique features
603,Chemo often doesn't benefit patient.,1,603,Chemotherapy
604,is chemo necessary in combination with hormonal treatment or is chemo not necessary (at that time not known),1,604,Chemotherapy
605,Why wasn't further genetic testing completed on my tumor?,7,605,Cancer detection and screening
606,He had no answer to my question about ILC subtypes solid and alveolar noted in pathology.,11,606,ILC unique features
607,Unusual reoccurrence location,0,607,Recurrence
608,Didn't need,-1,608,Ambiguous
609,Why my treatment was the same as my sister who had ducal 25 yrs ago. Harmful side effects taxol and prevention of neuropathy,6,609,Endocrine therapy
610,Why no gene testing,-1,610,Ambiguous
611,Why dont we have treatments other than letrozole,6,611,Endocrine therapy
612,how do I know breast cancer has metastasized; am I just waiting for pain?,-1,612,Ambiguous
613,"Implications for recurrence around pathology, tumor genomics and survivorship plan",-1,613,Ambiguous
614,"Definitely written information, explain how ILC is different , how LCIS features , need to suggest how to manage side effects from meds . Need to address sexuality issues ,also how alternative treatments help",11,614,ILC unique features
615,Yes,3,615,ILC unique features
616,Yes,3,616,ILC unique features
617,Spefic treatment for lobular,9,617,ILC unique features
618,A lot of things,-1,618,Ambiguous
619,AI risk vs benefit,6,619,Endocrine therapy
620,"AI's work better than tamoxifen, im chosing to go through menopause naturally",6,620,Endocrine therapy
621,All about it,-1,621,Ambiguous
622,All the previous questions,-1,622,Ambiguous
623,"Any advantages of a LobSig test vs traditional oncotype test, any future usefulness of Signatera screening,",7,623,Cancer detection and screening
624,"Any information about ILC, like specific websites, symposiums, research articles, etc.  Also, what was the last article they read.  I would like to know if my doctor is keeping current on ILC specifically.  I do not want my doctor to be insulted if I bring in literature to discuss.",11,624,ILC unique features
625,Any unique aspect of ILC,11,625,ILC unique features
626,Areas of recurrence specifically related to ILC,11,626,ILC unique features
627,"Areas of recurrence, different than other bc.",0,627,Recurrence
628,Areas that it can metastasize to different areas other than the usual areas,8,628,Metastasis
629,"Behandeling op maat, genprofieltest, kenmerken uitzaaiingen",-1,629,Ambiguous
630,Being alert for signs of metastasis and also that ILC can recur up to 20 years later.,-1,630,Ambiguous
631,"Biology or mutations identified in my cancer, how is pleomorphic ILC different, what symptoms could suggest cancer came back, what does lympho vascular invasion mean and impact on oncotype score, what type of breast cancer most prevalent in 911 survivors",-1,631,Ambiguous
632,"Chance of Mets , risk factors in my life to avoid or reduce,",-1,632,Ambiguous
633,Chances of recurrence,0,633,Recurrence
634,Chemo ineffective,1,634,Chemotherapy
635,"Chemo may not be helpful, metastatic patterns",1,635,Chemotherapy
636,Chemo may not be necessary,1,636,Chemotherapy
637,Chemotherapie is minder efficient bij ILC. TDat terugkeer bij ILC vaak na een aantal jaar is. War de uitkomst van Predict is als alleen gekeken wordt naar data van vrouwen met ILC.,11,637,ILC unique features
638,chemotherapy may not be successful due to ILC subtype,1,638,Chemotherapy
639,Difference,3,639,ILC unique features
640,Difference from Ductal,-1,640,Ambiguous
641,differences between ILC and IDC,11,641,ILC unique features
642,Differences between ILC and IDC. Metastasis differences.,-1,642,Ambiguous
643,"Differences, treatments",5,643,Personalized treatment and mental care
644,Different options besides medication,5,644,Personalized treatment and mental care
645,Different pattern of metastasis to IDC,8,645,Metastasis
646,Different treatment options and the unique features of ILC,11,646,ILC unique features
647,Effectiveness (or ineffectiveness)  of chemo with lobular,9,647,ILC unique features
648,Effectiveness of chemo,1,648,Chemotherapy
649,Everything,-1,649,Ambiguous
650,Follow up exams,7,650,Cancer detection and screening
651,Future signs to look for,0,651,Recurrence
652,General information specific to ILC. Anything about pleomorphic aspect. I've learned everything on my own.,11,652,ILC unique features
653,GI symptoms,8,653,Metastasis
654,Going to unusual places,-1,654,Ambiguous
655,Harder to detect,10,655,Cancer detection and screening
656,he needs to know more about lobular and how some chemos don't work for it and some antiestrogen drugs don't work with lobular,9,656,ILC unique features
657,"Histology, differences, targeted treatment, mri",7,657,Cancer detection and screening
658,Hormoon therapy for lobulair,9,658,ILC unique features
659,How different ILC is compared to IDC,11,659,ILC unique features
660,"How different it is from other types ,",3,660,ILC unique features
661,How different it is versus Ductal,-1,661,Ambiguous
662,How difficult ILC is to see on scans,10,662,Cancer detection and screening
663,How difficult it is to diagnose ILC,11,663,ILC unique features
664,"How ILC should be monitored, how it differs for treatment and metastisis",11,664,ILC unique features
665,How it can recur,0,665,Recurrence
666,How it differs. What tests. How unique.,3,666,ILC unique features
667,"How it is different from other breast cancers; what options I would have had (though since my original diagnosis I have been told the treatment would have been the same); how to monitor for recurrence, etc.",12,667,Influence of breast density
668,"How it is different, what to watch out for, any difference in effectiveness of treatment or monitoring",5,668,Personalized treatment and mental care
669,How long it can be when it comes back,0,669,Recurrence
670,How to be vigilant to avoid metastasis,8,670,Metastasis
671,How to recognize reoccurence symptoms,8,671,Metastasis
672,How to treat different from ductal. How it presents during reoccurrence,-1,672,Ambiguous
673,How to watch for recurrence.,0,673,Recurrence
674,how tx might be diff,-1,674,Ambiguous
675,How we will try to monitor progression when lobular is so hard to image.,9,675,ILC unique features
676,"I asked for, but was refused, annual mri. I heard about this on a cancer forum, I wished my oncologist would have explained, and agreed, the benefits of mri for surveillance.",7,676,Cancer detection and screening
677,I could save my breast,12,677,Influence of breast density
678,I did not have a appointment with a oncologist.....,-1,678,Ambiguous
679,"I hate the word sneaky. What research, new treatments unique to ILC are happening",11,679,ILC unique features
680,I just wish there was someone looking at the whole picture of my body.  Making connections between my gynecological issues etc.  ET affects so many systems.  And I wish there was more information and talk about treatments specific to ILC.,-1,680,Ambiguous
681,I now know how sneaky and evasive LBC is and it obviously didn't show upbon my previous mammogram and therefore had already metastisised by diagnosis.,12,681,Influence of breast density
682,I tried to discuss all of these notes in prior questions with my team and have been consistently dismissed,-1,682,Ambiguous
683,I was diagnosed at a large city NIC University hospital. They have done a good job of detecting and informing about ILC,11,683,ILC unique features
684,I wish all the questions you just asked me about what I can look for / do/monitor were clear to me.,-1,684,Ambiguous
685,Id of pushed for chemotherapy,1,685,Chemotherapy
686,"If chemo tx does not work on ILC, why do I have to do it?",1,686,Chemotherapy
687,ILC and chemo,1,687,Chemotherapy
688,ILC can metastasize to the GI tract and other places,-1,688,Ambiguous
689,"ILC should not be treated like Ductal Carcinoma. ILC differs clinically and histologically from DC, and especially in its difficultly in detection.",11,689,ILC unique features
690,ILC uniqueness and recurrence,11,690,ILC unique features
691,Imaging modalities that do not detect ILC,10,691,Cancer detection and screening
692,importance of AI's over tamoxifen,6,692,Endocrine therapy
693,Its difficult to detect. I am afraid it may occur in the other breast.,12,693,Influence of breast density
694,It's in a subgroup all of it's own.  It has different morphology and cells than I DC.  The treatment is different,11,694,ILC unique features
695,Ki67 results vs Oncotype results and the reoccurance,-1,695,Ambiguous
696,"knowing now that lobular presents differently than ductal and that there are literally no tests that can be done on me since i have had a dmx with diep flap reconstruction, i have no idea of how something will be identified",9,696,ILC unique features
697,"Lack of reliable scans for lobular,  no reliable monitoring",9,697,ILC unique features
698,Late gevolgen chemo en anti hormoontherapie,1,698,Chemotherapy
699,learned about some unique mutations given I have pleomorphic subtype that suggests other meds may be more effective at preventing recurrence but I am a physician so have access to these kind of papers/etc.,-1,699,Ambiguous
700,Likelihood of spread,0,700,Recurrence
701,Lobular Cancer is different than Ductal and should be treated differently,9,701,ILC unique features
702,Lobular has late recurrence and less response to chrmo,9,702,ILC unique features
703,Long Term Plan. Now I have BC in other breast. I don't want estrogen blockers,12,703,Influence of breast density
704,Long term recurrence,0,704,Recurrence
705,long term recurrence,0,705,Recurrence
706,Meaning of late recurrence & the unusual sites that ILC metastasizes to,-1,706,Ambiguous
707,Metastasis sites,8,707,Metastasis
708,"More about ILC, and how it is different to other types. Also different treatment options. I also want more info on future monitoring",11,708,ILC unique features
709,more awareness about the chemo options and potentail metastasis,8,709,Metastasis
710,More basic information on differences in mets spread,-1,710,Ambiguous
711,More detail about my type of tumour,-1,711,Ambiguous
712,"More discussion on care beyond 5 years, what to expect from long term side-effects of all treatments. Long term care plans don't differ from Ductal or stage considerations. As ILC tends for recurrence after 7 years, any different care for ILC.",11,712,ILC unique features
713,More info regarding the specifics of lobular an how monitoring for recurrence is best accomplished.,9,713,ILC unique features
714,more information,3,714,ILC unique features
715,more nuanced treatment options,5,715,Personalized treatment and mental care
716,More on prevention of recurrence,0,716,Recurrence
717,MRI yearly. Did my own research for surveillance,7,717,Cancer detection and screening
718,Needed more info about where lobular can recur -,9,718,ILC unique features
719,Needing a yearly mri scan,7,719,Cancer detection and screening
720,Not sure- I wish there were treatments targeting Lobular but that doesn't seem to be the case yet.,9,720,ILC unique features
721,Oncologist,-1,721,Ambiguous
722,option for hysterectomy and oophorectomy,-1,722,Ambiguous
723,Other symptoms,8,723,Metastasis
724,Patterns of growth,3,724,ILC unique features
725,Personalized treatment,5,725,Personalized treatment and mental care
726,Personlised treatment,5,726,Personalized treatment and mental care
727,Places it can metastasize to and how difficult it is to detect,8,727,Metastasis
728,Possible areas for recurrence specific to lobular,9,728,ILC unique features
729,Prevention of recurrence,0,729,Recurrence
730,"Prognosis. treatment options, Alternative treatments",5,730,Personalized treatment and mental care
731,propensity for gut involvement,-1,731,Ambiguous
732,Received a more personalized form of medication (not just FDA approved),5,732,Personalized treatment and mental care
733,Recurrence,0,733,Recurrence
734,Recurrence concerns,0,734,Recurrence
735,Recurrence issues,0,735,Recurrence
736,Recurrence possibilities,0,736,Recurrence
737,Recurrence rates,0,737,Recurrence
738,Recurrence signs,0,738,Recurrence
739,Recurrence statistics Areas of recurrence symptoms of recurrence,0,739,Recurrence
740,Recurrence where and what to look out for. Diagnostic tests to check for recurrence,0,740,Recurrence
741,Reoccurence and treatment options,5,741,Personalized treatment and mental care
